Timestamp,Please select a character to submit matchup data for.,What is your approximate skill level?,What is your tag?,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus,"I attest that the data I am submitting is my actual opinion, and I am not submitting junk data to cause a headache."
9/22/2023 17:04:33,Link,Intermediate (I have participated in multiple tournaments),Zushi,60:40,30:70,60:40,40:60,50:50,40:60,30:70,60:40,55:45,50:50,50:50,70:30,60:40,60:40,50:50,50:50,45:55,45:55,70:30,45:55,50:50,30:70,50:50,60:40,60:40,,60:40,50:50,55:45,50:50,55:45,55:45,30:70,,40:60,40:60,55:45,,40:60,,55:45,40:60,Yes
9/22/2023 17:08:14,King Dedede,High Level (I regularly make it out of pools in tournaments),Mulldrifter,40:60,30:70,50:50,40:60,40:60,20:80,60:40,45:55,20:80,70:30,40:60,70:30,50:50,45:55,40:60,30:70,40:60,30:70,70:30,40:60,60:40,45:55,60:40,30:70,40:60,45:55,60:40,40:60,60:40,40:60,50:50,70:30,40:60,45:55,30:70,30:70,40:60,,30:70,60:40,60:40,45:55,Yes
9/22/2023 17:22:24,King Dedede,Intermediate (I have participated in multiple tournaments),BlabAlongGuy,50:50,40:60,60:40,30:70,45:55,40:60,40:60,45:55,30:70,55:45,40:60,60:40,50:50,60:40,40:60,45:55,30:70,30:70,50:50,30:70,50:50,40:60,50:50,40:60,50:50,55:45,50:50,40:60,40:60,50:50,60:40,60:40,40:60,50:50,40:60,40:60,45:55,45:55,40:60,50:50,50:50,40:60,Yes
9/22/2023 18:13:57,Ike,Intermediate (I have participated in multiple tournaments),Jon Jones,60:40,55:45,55:45,55:45,50:50,45:55,50:50,60:40,55:45,50:50,60:40,70:30,55:45,50:50,45:55,55:45,45:55,55:45,60:40,50:50,50:50,45:55,55:45,55:45,55:45,55:45,60:40,50:50,55:45,60:40,55:45,60:40,40:60,55:45,45:55,45:55,55:45,55:45,40:60,60:40,80:20,40:60,Yes
9/22/2023 18:14:49,Roy,Intermediate (I have participated in multiple tournaments),AmPm,40:60,45:55,30:70,50:50,40:60,50:50,50:50,40:60,55:45,40:60,40:60,70:30,20:80,45:55,45:55,45:55,55:45,50:50,55:45,45:55,45:55,40:60,50:50,55:45,50:50,60:40,45:55,60:40,45:55,40:60,50:50,55:45,45:55,40:60,45:55,55:45,,45:55,40:60,55:45,40:60,45:55,Yes
9/22/2023 19:08:11,Zero Suit Samus,Top Player (I have won regional or larger sized tournaments),Malachi,60:40,55:45,55:45,60:40,40:60,60:40,45:55,55:45,55:45,55:45,55:45,55:45,60:40,55:45,55:45,55:45,50:50,60:40,55:45,45:55,55:45,50:50,60:40,60:40,60:40,60:40,60:40,55:45,60:40,60:40,60:40,60:40,45:55,60:40,50:50,55:45,60:40,50:50,55:45,55:45,60:40,50:50,Yes
9/22/2023 19:20:27,Ivysaur,Intermediate (I have participated in multiple tournaments),Legonro,70:30,60:40,,,,,,,70:30,,50:50,,,,,,,,,,50:50,,,,,,,,,,60:40,,,,,,,,,,,,Yes
9/22/2023 19:41:15,Link,Intermediate (I have participated in multiple tournaments),Theft,45:55,40:60,,55:45,50:50,40:60,40:60,50:50,55:45,50:50,55:45,70:30,50:50,55:45,45:55,50:50,45:55,40:60,55:45,50:50,45:55,45:55,55:45,60:40,55:45,55:45,60:40,,50:50,50:50,55:45,,45:55,50:50,40:60,,45:55,55:45,40:60,50:50,60:40,45:55,Yes
9/22/2023 19:44:17,Ike,High Level (I regularly make it out of pools in tournaments),Shadrake,55:45,50:50,50:50,50:50,50:50,45:55,45:55,55:45,55:45,50:50,55:45,70:30,55:45,45:55,45:55,50:50,45:55,45:55,70:30,50:50,40:60,50:50,55:45,50:50,55:45,55:45,70:30,50:50,45:55,50:50,50:50,70:30,40:60,55:45,45:55,45:55,50:50,55:45,45:55,60:40,70:30,45:55,Yes
9/22/2023 19:51:59,Ike,High Level (I regularly make it out of pools in tournaments),Your Face,60:40,50:50,55:45,45:55,55:45,40:60,40:60,60:40,50:50,50:50,60:40,60:40,55:45,45:55,45:55,55:45,45:55,45:55,45:55,55:45,45:55,40:60,40:60,55:45,60:40,55:45,55:45,45:55,55:45,55:45,55:45,55:45,45:55,45:55,40:60,45:55,45:55,55:45,40:60,55:45,60:40,45:55,Yes
