Character,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus
Pikachu,-0.25,-0.45652173913043476,-0.4583333333333333,-0.3333333333333333,-0.6578947368421053,-0.7222222222222222,-0.5555555555555556,0.06521739130434782,-1.25,-0.041666666666666664,-0.017241379310344827,0.22727272727272727,0.9705882352941176,0.18181818181818182,-0.1,-0.09090909090909091,-0.27586206896551724,-0.2857142857142857,0.2647058823529412,-0.7631578947368421,-0.14705882352941177,-0.8611111111111112,-0.21428571428571427,-0.4,-0.1,0.275,-0.6,0.0,-0.07142857142857142,-0.06521739130434782,-0.19230769230769232,0.17647058823529413,-0.7666666666666667,-0.05555555555555555,-0.35714285714285715,0.025,-0.25,-0.2647058823529412,-0.42857142857142855,-0.21052631578947367,0.75,-0.5434782608695652
Pit,0.029411764705882353,-0.8695652173913043,0.29545454545454547,-0.11764705882352941,-0.9705882352941176,-0.8,-1.0,0.24,-0.5,0.06896551724137931,0.13793103448275862,1.1363636363636365,0.5,0.5,-0.65625,-0.391304347826087,-0.5,-0.5,0.29411764705882354,-0.775,-0.1,-0.6388888888888888,0.7352941176470589,0.5,0.5588235294117647,0.14285714285714285,0.3125,0.07142857142857142,0.0,-0.08695652173913043,-0.125,0.3235294117647059,-0.6333333333333333,0.13157894736842105,-0.5681818181818182,0.11904761904761904,-0.06666666666666667,-0.19444444444444445,-0.8666666666666667,-0.2894736842105263,0.5416666666666666,-0.6956521739130435
R.O.B.,0.68,-0.8666666666666667,-0.22727272727272727,-0.017241379310344827,-0.66,0.52,0.3,0.5625,0.4827586206896552,-0.08333333333333333,0.3194444444444444,1.1111111111111112,0.5,0.4166666666666667,-0.75,0.06666666666666667,-0.8648648648648649,-0.05555555555555555,0.7916666666666666,-0.42592592592592593,-0.20238095238095238,-0.96,-0.047619047619047616,0.13043478260869565,0.5833333333333334,0.42857142857142855,0.6041666666666666,0.06521739130434782,0.08695652173913043,0.0,1.25,1.3125,-0.42,0.17307692307692307,-0.9482758620689655,-0.30357142857142855,-0.1590909090909091,-0.04,0.12,0.9038461538461539,0.6052631578947368,-1.3166666666666667
Roy,-1.3888888888888888,-0.68,-1.2777777777777777,-0.5882352941176471,-1.175,0.1388888888888889,-0.07894736842105263,-0.6296296296296297,-0.23809523809523808,-0.45,-0.27586206896551724,0.3333333333333333,-0.95,-0.10714285714285714,-0.375,-0.06521739130434782,-0.532258064516129,0.625,0.14705882352941177,0.0,-0.6756756756756757,-0.55,-0.4411764705882353,0.30952380952380953,0.34210526315789475,0.6,-0.29411764705882354,0.19230769230769232,0.125,-1.25,0.0,-0.6176470588235294,-0.78125,-0.375,-0.5454545454545454,0.15,0.0,-0.4166666666666667,-0.6666666666666666,-0.7,-0.20833333333333334,-1.125
Samus,-0.6052631578947368,-1.0625,-0.84,-0.25,-0.9166666666666666,0.125,-0.23684210526315788,-0.6923076923076923,0.5434782608695652,-1.1,-0.25,-0.375,-0.85,-0.25,-0.8235294117647058,-0.6956521739130435,-0.07142857142857142,0.0,0.16666666666666666,-0.23809523809523808,-0.5972222222222222,-0.631578947368421,-1.1,-0.5882352941176471,-0.3611111111111111,-0.5909090909090909,-0.3235294117647059,-0.17647058823529413,-0.3235294117647059,-1.3125,0.6176470588235294,0.0,-0.42105263157894735,-0.6,-0.45652173913043476,-0.1590909090909091,-0.8125,-0.4473684210526316,-0.21875,0.15,-0.6153846153846154,-0.75
Sheik,1.375,1.06,0.17307692307692307,0.22916666666666666,0.23809523809523808,0.15,-0.45,1.462962962962963,-1.8333333333333333,0.7903225806451613,0.3225806451612903,-0.07692307692307693,0.825,-0.42857142857142855,0.0,1.36,0.2903225806451613,0.5769230769230769,0.8157894736842105,0.11363636363636363,0.527027027027027,-0.2,0.07894736842105263,-0.10526315789473684,0.7894736842105263,1.125,0.6052631578947368,0.7666666666666667,0.6333333333333333,0.42,0.78125,0.42105263157894735,0.0,1.0681818181818181,0.06521739130434782,-0.2,0.8571428571428571,0.3,-0.425,0.47619047619047616,1.0,0.58
Snake,1.1363636363636365,-0.4444444444444444,-0.3064516129032258,-0.5714285714285714,0.13636363636363635,-0.2727272727272727,-0.6590909090909091,0.29310344827586204,0.04,-0.4264705882352941,-0.5,0.3,0.7954545454545454,-0.14705882352941177,-0.6842105263157895,-0.3076923076923077,-0.6212121212121212,-0.13333333333333333,0.125,-0.4583333333333333,-0.8076923076923077,-0.7954545454545454,-0.8095238095238095,0.15,-0.525,-1.0416666666666667,0.4444444444444444,0.05555555555555555,-0.13157894736842105,-0.17307692307692307,0.375,0.6,-1.0681818181818181,0.0,-0.2692307692307692,-0.4791666666666667,-0.47368421052631576,-0.23809523809523808,-0.4782608695652174,-0.17391304347826086,-0.6666666666666666,-0.7592592592592593
Sonic,1.1346153846153846,-0.1935483870967742,0.8235294117647058,0.6206896551724138,0.9423076923076923,0.11538461538461539,-0.4230769230769231,1.3333333333333333,-0.3392857142857143,0.7428571428571429,0.8472222222222222,1.1578947368421053,1.5,0.7380952380952381,0.30434782608695654,0.8166666666666667,0.3055555555555556,-0.19444444444444445,0.32,-0.5178571428571429,-0.23809523809523808,0.07692307692307693,0.13043478260869565,0.2608695652173913,0.375,1.1666666666666667,0.55,0.35714285714285715,0.5681818181818182,0.9482758620689655,0.5454545454545454,0.45652173913043476,-0.06521739130434782,0.2692307692307692,0.0,0.3333333333333333,0.42857142857142855,0.7708333333333334,-0.08333333333333333,0.6,0.4166666666666667,-0.1
Squirtle,1.0,0.26785714285714285,0.3958333333333333,0.09259259259259259,-0.717391304347826,-0.043478260869565216,-1.0789473684210527,1.0689655172413792,-0.3333333333333333,0.6470588235294118,0.5735294117647058,1.1875,1.2826086956521738,0.2631578947368421,-0.2857142857142857,-0.36538461538461536,0.0,-0.34375,0.29545454545454547,-0.62,-0.8333333333333334,-0.9791666666666666,0.0,-0.1,-0.5,-0.25,0.5681818181818182,-0.025,-0.11904761904761904,0.30357142857142855,-0.15,0.1590909090909091,0.2,0.4791666666666667,-0.3333333333333333,0.0,-0.15,0.075,-0.15217391304347827,-1.3958333333333333,0.3235294117647059,-0.6071428571428571
Toon Link,0.2647058823529412,-1.3409090909090908,0.8043478260869565,-0.5384615384615384,0.23529411764705882,-1.2058823529411764,-1.7692307692307692,0.5,0.25,-0.043478260869565216,1.1071428571428572,1.35,1.2058823529411764,0.5,-0.5666666666666667,0.045454545454545456,-0.5714285714285714,0.4,1.0625,-0.21052631578947367,-0.6666666666666666,-0.8333333333333334,1.375,1.625,0.5666666666666667,0.15,1.0,0.25,0.06666666666666667,0.1590909090909091,0.0,0.8125,-0.8571428571428571,0.47368421052631576,-0.42857142857142855,0.15,0.0,0.0,-0.8235294117647058,0.2777777777777778,0.45454545454545453,-0.6590909090909091
