Character,Bowser,Captain Falcon,Charizard,Diddy Kong,Donkey Kong,Falco,Fox,Ganondorf,Ice Climbers,Ike,Ivysaur,Jigglypuff,King Dedede,Kirby,Knuckles,Link,Lucario,Lucas,Luigi,Mario,Marth,Meta Knight,Mewtwo,Mr. Game and Watch,Ness,Olimar,Peach,Pikachu,Pit,R.O.B.,Roy,Samus,Sheik,Snake,Sonic,Squirtle,Toon Link,Wario,Wolf,Yoshi,Zelda,Zero Suit Samus
Ivysaur,0.12650306001654024,0.10157632688089804,0.08576578123452983,0.06824853951007379,0.07813291236380623,0.06063600937579219,0.11236430518376886,0.1189532847632975,0.08281519359498274,0.07771293665024583,0.0,0.17702833484793146,0.10149462682424892,0.10871102010449521,0.0558684542966195,0.08213423005076353,0.020587735385529434,0.08860158884519917,0.13964925960710375,0.09492397034955809,0.06303997616615864,0.042673408242977266,0.12871062106070105,0.13252163397375682,0.0655802278398368,0.11439924277003014,0.190180394298358,0.1347382945478606,0.08911355918781057,0.06652597588440273,0.07271226314840154,0.1239901738783796,0.08213674376115145,0.07537783614444091,0.07923103760032418,0.04782410275630733,0.15291943546029915,0.11442901426770304,0.06038508397721645,0.09374999999999999,0.0912346139865349,0.042008402520840295
Jigglypuff,0.17969882210706523,0.05976143046671968,0.10602194719070118,0.047652505135351915,0.16437222747978647,0.12049161450767712,0.18540496217739158,0.1672385217236366,0.11239029738980327,0.06734350297014736,0.17702833484793143,0.0,0.21650635094610965,0.19999999999999998,0.16456021024035095,0.12657863011022424,0.18446263857040374,0.0,0.2383656473113981,0.0903876907577734,0.07547295017110332,0.14044168141158106,0.31167748898959186,0.18170270503179914,0.13173978860172217,0.20155644370746376,0.08463143846565584,0.12364973189759493,0.17953106961937726,0.14323272549549756,0.2763853991962833,0.16428218516819273,0.12462962881553577,0.19395630337539332,0.11504278112810527,0.10077822185373188,0.4153311931459037,0.19999999999999998,0.07216878364870322,0.23780825924700338,0.15,0.06025846050518227
King Dedede,0.18132793109199782,0.12265552860847673,0.12381594805474685,0.11227500313294325,0.1319228112113816,0.21907400816306707,0.17206180040292132,0.10620177532597329,0.18955197622504827,0.1392270905264326,0.10149462682424892,0.21650635094610965,0.0,0.15858098560067926,0.0903876907577734,0.12331707339908766,0.08567283308875519,0.2142857142857143,0.1116561922293515,0.11233015514289736,0.16083092615667877,0.043902592653775656,0.24366985862022408,0.13320572124475585,0.15019353286010445,0.10528237629934548,0.2826372328162047,0.13873501664789123,0.17149858514250885,0.09574271077563382,0.23480114767046698,0.13620804520639507,0.05471216549024154,0.17301468455147012,0.1042572070285374,0.17733782034920598,0.26100351984263015,0.053022812874470436,0.1357351696546593,0.23639693405153323,0.1951800145897066,0.15524174696260024
Kirby,0.1818596070232933,0.12624819542352975,0.10850277962151737,0.06239177481057773,0.09530501027070383,0.075703162801375,0.3529411764705882,0.12739256153441425,0.05532833351724883,0.08426500884694865,0.10871102010449524,0.19999999999999998,0.15858098560067926,0.0,0.07041787902195303,0.0748867700952649,0.06725085192845344,0.3004626062886658,0.0652791209833867,0.05041584516516835,0.11919656944014653,0.05973557650467618,0.13323467750529824,0.18478210682198062,0.06862635163075162,0.08859214858212348,0.12909944487358055,0.07606000241218869,0.11677484162422845,0.0451938453788867,0.130284678037136,0.16854996561581054,0.04852615860619696,0.11947115300935236,0.05583828285504083,0.05884389414473131,0.34156502553198664,0.15625,0.09810047105975246,0.06666666666666667,0.10101525445522105,0.05270462766947298
Knuckles,0.11590946307822354,0.12286829679574761,0.12559870339120865,0.11482066848376489,0.10105651043180541,0.08627698550617051,0.059735576504676174,0.0576923076923077,0.05455447255899809,0.04491276484928687,0.05586845429661949,0.16456021024035092,0.0903876907577734,0.07041787902195303,0.0,0.08212883302442749,0.062483510539775806,0.207193853502687,0.06862635163075162,0.17366269075057592,0.11634498357394644,0.10707504926082193,0.09358766221586659,0.1613743060919757,0.17989446595608974,0.0980936667961022,0.09915003361908994,0.12149857925879115,0.09915003361908994,0.05735393346764043,0.07216878364870322,0.05973557650467618,0.0700140042014005,0.10956136839295434,0.06078480829735059,0.1271080744289442,0.06666666666666665,0.0451938453788867,0.17001838135919303,0.07017543859649122,0.10706043954824292,0.10090669890292289
Link,0.11210114480533492,0.07323922906700683,0.08637692614387409,0.09521862945851085,0.06137317546507324,0.1,0.12476644848141934,0.10763301738524109,0.10842735607720831,0.06640995601613146,0.08213423005076352,0.12657863011022424,0.12331707339908769,0.0748867700952649,0.08212883302442747,0.0,0.046795971976090985,0.0923744707523044,0.1042572070285374,0.0850177966460215,0.06421685131756284,0.07571877794400364,0.06673456687099226,0.14454303013066463,0.09292741458900196,0.11427129877881141,0.13619827387585826,0.14201839569111904,0.07671956104261532,0.06220716840337841,0.05714162962371922,0.07530655685082077,0.11000000000000001,0.09230769230769231,0.04474277269919981,0.1455961017749823,0.12269119238760508,0.07320723677962591,0.08978936561483655,0.07788880963698616,0.12378637902794572,0.08554535441995227
Lucario,0.13003012209398748,0.10710268509797352,0.0667490284204635,0.08189035568782814,0.06440743032324014,0.13093073414159542,0.13824487208523556,0.04718149732160186,0.13938441545915606,0.059427404243902256,0.020587735385529434,0.18446263857040376,0.08567283308875519,0.06725085192845345,0.062483510539775806,0.04679597197609099,0.0,0.1414109203920946,0.1301179093736187,0.07224511236770918,0.06590600386811347,0.04218003305174259,0.0912346139865349,0.10440731838827674,0.07637626158259733,0.08676970585889242,0.08400268812903088,0.07271226314840154,0.08164965809277261,0.0715776963156338,0.09542064166289703,0.13041013273932528,0.10819683762095758,0.17411886264486673,0.0725875983596792,0.125,0.17349939716415885,0.10796777731184083,0.12471615959333288,0.12764444150951446,0.09595050780084849,0.08006407690254357
Lucas,0.15384615384615385,0.07532307563147785,0.09578380647911468,0.11074529874036468,0.13137116366614868,0.15858098560067924,0.24925925763107154,0.14633685005565253,0.2306527520787959,0.10279899245732688,0.08860158884519916,0.0,0.2142857142857143,0.3004626062886658,0.207193853502687,0.0923744707523044,0.1414109203920946,0.0,0.125,0.053452248382484885,0.11176055411431488,0.10293952744612743,0.18463723646899913,0.21380899352993948,0.041666666666666664,0.203964610901009,0.25061906821982216,0.21428571428571425,0.0,0.13937822295513805,0.13933010725567818,0.2383656473113981,0.30406515963157493,0.18559214542766736,0.16734610962517532,0.05983919423477113,0.1632993161855452,0.12162606385262997,0.16468246895724523,0.04545454545454545,0.05555555555555555,0.1451215902691145
Luigi,0.149637913238877,0.08138575615147793,0.08660254037844387,0.14405203276001521,0.14306584587982532,0.056848602617612806,0.054780684196477164,0.09730085108210398,0.20685951159098062,0.12740914618149354,0.13964925960710375,0.2383656473113981,0.1116561922293515,0.0652791209833867,0.06862635163075162,0.1042572070285374,0.1301179093736187,0.125,0.0,0.11688512103460551,0.130352763812317,0.14306584587982532,0.24494897427831783,0.2025909274874538,0.17412505627133626,0.11000697627335985,0.1505199322349037,0.12215623327820699,0.1718135506698224,0.15901835035238,0.1647452684000594,0.05716619504750295,0.056848602617612806,0.17724128662422456,0.16041612554021287,0.09104427178808705,0.1505199322349037,0.15625,0.06962503450169975,0.2306527520787959,0.2522091740116154,0.12761456442405036
Mario,0.16898719064510528,0.14215068238708106,0.1054366735356222,0.14681026679994091,0.1538585464359836,0.11819846702576665,0.11620474135177454,0.1579526519505007,0.15,0.044707875928905925,0.09492397034955809,0.0903876907577734,0.11233015514289736,0.05041584516516835,0.17366269075057592,0.08501779664602152,0.07224511236770921,0.05345224838248488,0.11688512103460551,0.0,0.060777458345074746,0.06936730741021442,0.16598500055174648,0.1446411166701189,0.12256702548794049,0.08333333333333334,0.11239029738980327,0.0588438941447313,0.057066443268951154,0.08313525049239244,0.10350983390135313,0.1012954637437269,0.1353679376800551,0.07915236331504884,0.09786795599316289,0.04358898943540673,0.16363822900155814,0.09616822463862795,0.07894736842105263,0.13780245679652423,0.20009763241977652,0.07348066605593385
